,steps
3180,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:45:00'}"
3181,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:44:00'}"
3182,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:43:00'}"
3183,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:42:00'}"
3184,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:41:00'}"
3185,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:40:00'}"
3186,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:39:00'}"
3187,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:38:00'}"
3188,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:37:00'}"
3189,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:36:00'}"
3190,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:35:00'}"
3191,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:34:00'}"
3192,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:33:00'}"
3193,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:32:00'}"
3194,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:31:00'}"
3195,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:30:00'}"
3196,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:29:00'}"
3197,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:28:00'}"
3198,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:27:00'}"
3199,"{u'date': u'2013-09-05', u'steps': u'4', u'time': u'15:26:00'}"
3200,"{u'date': u'2013-09-05', u'steps': u'10', u'time': u'15:25:00'}"
3201,"{u'date': u'2013-09-05', u'steps': u'61', u'time': u'15:24:00'}"
3202,"{u'date': u'2013-09-05', u'steps': u'12', u'time': u'15:23:00'}"
3203,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:22:00'}"
3204,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:21:00'}"
3205,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:20:00'}"
3206,"{u'date': u'2013-09-05', u'steps': u'7', u'time': u'15:19:00'}"
3207,"{u'date': u'2013-09-05', u'steps': u'6', u'time': u'15:18:00'}"
3208,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:17:00'}"
3209,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:16:00'}"
3210,"{u'date': u'2013-09-05', u'steps': u'13', u'time': u'15:15:00'}"
3211,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:14:00'}"
3212,"{u'date': u'2013-09-05', u'steps': u'14', u'time': u'15:13:00'}"
3213,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:12:00'}"
3214,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:11:00'}"
3215,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:10:00'}"
3216,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:09:00'}"
3217,"{u'date': u'2013-09-05', u'steps': u'15', u'time': u'15:08:00'}"
3218,"{u'date': u'2013-09-05', u'steps': u'82', u'time': u'15:07:00'}"
3219,"{u'date': u'2013-09-05', u'steps': u'55', u'time': u'15:06:00'}"
3220,"{u'date': u'2013-09-05', u'steps': u'14', u'time': u'15:05:00'}"
3221,"{u'date': u'2013-09-05', u'steps': u'13', u'time': u'15:04:00'}"
3222,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:03:00'}"
3223,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:02:00'}"
3224,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:01:00'}"
3225,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'15:00:00'}"
3226,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:59:00'}"
3227,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:58:00'}"
3228,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:57:00'}"
3229,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:56:00'}"
3230,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:55:00'}"
3231,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:54:00'}"
3232,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:53:00'}"
3233,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:52:00'}"
3234,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:51:00'}"
3235,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:50:00'}"
3236,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:49:00'}"
3237,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:48:00'}"
3238,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:47:00'}"
3239,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:46:00'}"
3240,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:45:00'}"
3241,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:44:00'}"
3242,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:43:00'}"
3243,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:42:00'}"
3244,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:41:00'}"
3245,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:40:00'}"
3246,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:39:00'}"
3247,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:38:00'}"
3248,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:37:00'}"
3249,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:36:00'}"
3250,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:35:00'}"
3251,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:34:00'}"
3252,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:33:00'}"
3253,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:32:00'}"
3254,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:31:00'}"
3255,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:30:00'}"
3256,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:29:00'}"
3257,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:28:00'}"
3258,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:27:00'}"
3259,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:26:00'}"
3260,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:25:00'}"
3261,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:24:00'}"
3262,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:23:00'}"
3263,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:22:00'}"
3264,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:21:00'}"
3265,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:20:00'}"
3266,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:19:00'}"
3267,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:18:00'}"
3268,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:17:00'}"
3269,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:16:00'}"
3270,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:15:00'}"
3271,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:14:00'}"
3272,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:13:00'}"
3273,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:12:00'}"
3274,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:11:00'}"
3275,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:10:00'}"
3276,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:09:00'}"
3277,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:08:00'}"
3278,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:07:00'}"
3279,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:06:00'}"
3280,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:05:00'}"
3281,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:04:00'}"
3282,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:03:00'}"
3283,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'14:02:00'}"
3284,"{u'date': u'2013-09-05', u'steps': u'15', u'time': u'14:01:00'}"
3285,"{u'date': u'2013-09-05', u'steps': u'11', u'time': u'14:00:00'}"
3286,"{u'date': u'2013-09-05', u'steps': u'85', u'time': u'13:59:00'}"
3287,"{u'date': u'2013-09-05', u'steps': u'89', u'time': u'13:58:00'}"
3288,"{u'date': u'2013-09-05', u'steps': u'41', u'time': u'13:57:00'}"
3289,"{u'date': u'2013-09-05', u'steps': u'102', u'time': u'13:56:00'}"
3290,"{u'date': u'2013-09-05', u'steps': u'102', u'time': u'13:55:00'}"
3291,"{u'date': u'2013-09-05', u'steps': u'33', u'time': u'13:54:00'}"
3292,"{u'date': u'2013-09-05', u'steps': u'31', u'time': u'13:53:00'}"
3293,"{u'date': u'2013-09-05', u'steps': u'14', u'time': u'13:52:00'}"
3294,"{u'date': u'2013-09-05', u'steps': u'17', u'time': u'13:51:00'}"
3295,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:50:00'}"
3296,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:49:00'}"
3297,"{u'date': u'2013-09-05', u'steps': u'25', u'time': u'13:48:00'}"
3298,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:47:00'}"
3299,"{u'date': u'2013-09-05', u'steps': u'85', u'time': u'13:46:00'}"
3300,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:45:00'}"
3301,"{u'date': u'2013-09-05', u'steps': u'47', u'time': u'13:44:00'}"
3302,"{u'date': u'2013-09-05', u'steps': u'55', u'time': u'13:43:00'}"
3303,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:42:00'}"
3304,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:41:00'}"
3305,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:40:00'}"
3306,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:39:00'}"
3307,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:38:00'}"
3308,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:37:00'}"
3309,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:36:00'}"
3310,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:35:00'}"
3311,"{u'date': u'2013-09-05', u'steps': u'40', u'time': u'13:34:00'}"
3312,"{u'date': u'2013-09-05', u'steps': u'11', u'time': u'13:33:00'}"
3313,"{u'date': u'2013-09-05', u'steps': u'54', u'time': u'13:32:00'}"
3314,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:31:00'}"
3315,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:30:00'}"
3316,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:29:00'}"
3317,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:28:00'}"
3318,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:27:00'}"
3319,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:26:00'}"
3320,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:25:00'}"
3321,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:24:00'}"
3322,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:23:00'}"
3323,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:22:00'}"
3324,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:21:00'}"
3325,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:20:00'}"
3326,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:19:00'}"
3327,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:18:00'}"
3328,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:17:00'}"
3329,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:16:00'}"
3330,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:15:00'}"
3331,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:14:00'}"
3332,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:13:00'}"
3333,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:12:00'}"
3334,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:11:00'}"
3335,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:10:00'}"
3336,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:09:00'}"
3337,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:08:00'}"
3338,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:07:00'}"
3339,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:06:00'}"
3340,"{u'date': u'2013-09-05', u'steps': u'17', u'time': u'13:05:00'}"
3341,"{u'date': u'2013-09-05', u'steps': u'93', u'time': u'13:04:00'}"
3342,"{u'date': u'2013-09-05', u'steps': u'90', u'time': u'13:03:00'}"
3343,"{u'date': u'2013-09-05', u'steps': u'98', u'time': u'13:02:00'}"
3344,"{u'date': u'2013-09-05', u'steps': u'11', u'time': u'13:01:00'}"
3345,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'13:00:00'}"
3346,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:59:00'}"
3347,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:58:00'}"
3348,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:57:00'}"
3349,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:56:00'}"
3350,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:55:00'}"
3351,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:54:00'}"
3352,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:53:00'}"
3353,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:52:00'}"
3354,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:51:00'}"
3355,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:50:00'}"
3356,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:49:00'}"
3357,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:48:00'}"
3358,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:47:00'}"
3359,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:46:00'}"
3360,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:45:00'}"
3361,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:44:00'}"
3362,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:43:00'}"
3363,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:42:00'}"
3364,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:41:00'}"
3365,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:40:00'}"
3366,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:39:00'}"
3367,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:38:00'}"
3368,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:37:00'}"
3369,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:36:00'}"
3370,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:35:00'}"
3371,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:34:00'}"
3372,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:33:00'}"
3373,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:32:00'}"
3374,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:31:00'}"
3375,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:30:00'}"
3376,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:29:00'}"
3377,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:28:00'}"
3378,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:27:00'}"
3379,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:26:00'}"
3380,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:25:00'}"
3381,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:24:00'}"
3382,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:23:00'}"
3383,"{u'date': u'2013-09-05', u'steps': u'9', u'time': u'12:22:00'}"
3384,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'12:21:00'}"
3385,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:20:00'}"
3386,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:19:00'}"
3387,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:18:00'}"
3388,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:17:00'}"
3389,"{u'date': u'2013-09-05', u'steps': u'9', u'time': u'12:16:00'}"
3390,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:15:00'}"
3391,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:14:00'}"
3392,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'12:13:00'}"
3393,"{u'date': u'2013-09-05', u'steps': u'61', u'time': u'12:12:00'}"
3394,"{u'date': u'2013-09-05', u'steps': u'106', u'time': u'12:11:00'}"
3395,"{u'date': u'2013-09-05', u'steps': u'107', u'time': u'12:10:00'}"
3396,"{u'date': u'2013-09-05', u'steps': u'7', u'time': u'12:09:00'}"
3397,"{u'date': u'2013-09-05', u'steps': u'17', u'time': u'12:08:00'}"
3398,"{u'date': u'2013-09-05', u'steps': u'38', u'time': u'12:07:00'}"
3399,"{u'date': u'2013-09-05', u'steps': u'15', u'time': u'12:06:00'}"
3400,"{u'date': u'2013-09-05', u'steps': u'19', u'time': u'12:05:00'}"
3401,"{u'date': u'2013-09-05', u'steps': u'38', u'time': u'12:04:00'}"
3402,"{u'date': u'2013-09-05', u'steps': u'108', u'time': u'12:03:00'}"
3403,"{u'date': u'2013-09-05', u'steps': u'107', u'time': u'12:02:00'}"
3404,"{u'date': u'2013-09-05', u'steps': u'67', u'time': u'12:01:00'}"
3405,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'12:00:00'}"
3406,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:59:00'}"
3407,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:58:00'}"
3408,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:57:00'}"
3409,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:56:00'}"
3410,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:55:00'}"
3411,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:54:00'}"
3412,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:53:00'}"
3413,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:52:00'}"
3414,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:51:00'}"
3415,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:50:00'}"
3416,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:49:00'}"
3417,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:48:00'}"
3418,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:47:00'}"
3419,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:46:00'}"
3420,"{u'date': u'2013-09-05', u'steps': u'5', u'time': u'11:45:00'}"
3421,"{u'date': u'2013-09-05', u'steps': u'6', u'time': u'11:44:00'}"
3422,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:43:00'}"
3423,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:42:00'}"
3424,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:41:00'}"
3425,"{u'date': u'2013-09-05', u'steps': u'17', u'time': u'11:40:00'}"
3426,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'11:39:00'}"
3427,"{u'date': u'2013-09-05', u'steps': u'9', u'time': u'11:38:00'}"
3428,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:37:00'}"
3429,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:36:00'}"
3430,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:35:00'}"
3431,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:34:00'}"
3432,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:33:00'}"
3433,"{u'date': u'2013-09-05', u'steps': u'14', u'time': u'11:32:00'}"
3434,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:31:00'}"
3435,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:30:00'}"
3436,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'11:29:00'}"
3437,"{u'date': u'2013-09-05', u'steps': u'22', u'time': u'11:28:00'}"
3438,"{u'date': u'2013-09-05', u'steps': u'14', u'time': u'11:27:00'}"
3439,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:26:00'}"
3440,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:25:00'}"
3441,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:24:00'}"
3442,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:23:00'}"
3443,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:22:00'}"
3444,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:21:00'}"
3445,"{u'date': u'2013-09-05', u'steps': u'83', u'time': u'11:20:00'}"
3446,"{u'date': u'2013-09-05', u'steps': u'4', u'time': u'11:19:00'}"
3447,"{u'date': u'2013-09-05', u'steps': u'23', u'time': u'11:18:00'}"
3448,"{u'date': u'2013-09-05', u'steps': u'15', u'time': u'11:17:00'}"
3449,"{u'date': u'2013-09-05', u'steps': u'1', u'time': u'11:16:00'}"
3450,"{u'date': u'2013-09-05', u'steps': u'72', u'time': u'11:15:00'}"
3451,"{u'date': u'2013-09-05', u'steps': u'78', u'time': u'11:14:00'}"
3452,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:13:00'}"
3453,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'11:12:00'}"
3454,"{u'date': u'2013-09-05', u'steps': u'29', u'time': u'11:11:00'}"
3455,"{u'date': u'2013-09-05', u'steps': u'23', u'time': u'11:10:00'}"
3456,"{u'date': u'2013-09-05', u'steps': u'69', u'time': u'11:09:00'}"
3457,"{u'date': u'2013-09-05', u'steps': u'25', u'time': u'11:08:00'}"
3458,"{u'date': u'2013-09-05', u'steps': u'71', u'time': u'11:07:00'}"
3459,"{u'date': u'2013-09-05', u'steps': u'90', u'time': u'11:06:00'}"
3460,"{u'date': u'2013-09-05', u'steps': u'94', u'time': u'11:05:00'}"
3461,"{u'date': u'2013-09-05', u'steps': u'72', u'time': u'11:04:00'}"
3462,"{u'date': u'2013-09-05', u'steps': u'94', u'time': u'11:03:00'}"
3463,"{u'date': u'2013-09-05', u'steps': u'91', u'time': u'11:02:00'}"
3464,"{u'date': u'2013-09-05', u'steps': u'77', u'time': u'11:01:00'}"
3465,"{u'date': u'2013-09-05', u'steps': u'26', u'time': u'11:00:00'}"
3466,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:59:00'}"
3467,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:58:00'}"
3468,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:57:00'}"
3469,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:56:00'}"
3470,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'10:55:00'}"
3471,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:54:00'}"
3472,"{u'date': u'2013-09-05', u'steps': u'1', u'time': u'10:53:00'}"
3473,"{u'date': u'2013-09-05', u'steps': u'25', u'time': u'10:52:00'}"
3474,"{u'date': u'2013-09-05', u'steps': u'44', u'time': u'10:51:00'}"
3475,"{u'date': u'2013-09-05', u'steps': u'100', u'time': u'10:50:00'}"
3476,"{u'date': u'2013-09-05', u'steps': u'115', u'time': u'10:49:00'}"
3477,"{u'date': u'2013-09-05', u'steps': u'93', u'time': u'10:48:00'}"
3478,"{u'date': u'2013-09-05', u'steps': u'33', u'time': u'10:47:00'}"
3479,"{u'date': u'2013-09-05', u'steps': u'6', u'time': u'10:46:00'}"
3480,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:45:00'}"
3481,"{u'date': u'2013-09-05', u'steps': u'10', u'time': u'10:44:00'}"
3482,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:43:00'}"
3483,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:42:00'}"
3484,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:41:00'}"
3485,"{u'date': u'2013-09-05', u'steps': u'17', u'time': u'10:40:00'}"
3486,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:39:00'}"
3487,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:38:00'}"
3488,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:37:00'}"
3489,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:36:00'}"
3490,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:35:00'}"
3491,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:34:00'}"
3492,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:33:00'}"
3493,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:32:00'}"
3494,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'10:31:00'}"
3495,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:30:00'}"
3496,"{u'date': u'2013-09-05', u'steps': u'1', u'time': u'10:29:00'}"
3497,"{u'date': u'2013-09-05', u'steps': u'10', u'time': u'10:28:00'}"
3498,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:27:00'}"
3499,"{u'date': u'2013-09-05', u'steps': u'14', u'time': u'10:26:00'}"
3500,"{u'date': u'2013-09-05', u'steps': u'4', u'time': u'10:25:00'}"
3501,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:24:00'}"
3502,"{u'date': u'2013-09-05', u'steps': u'8', u'time': u'10:23:00'}"
3503,"{u'date': u'2013-09-05', u'steps': u'18', u'time': u'10:22:00'}"
3504,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:21:00'}"
3505,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:20:00'}"
3506,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:19:00'}"
3507,"{u'date': u'2013-09-05', u'steps': u'11', u'time': u'10:18:00'}"
3508,"{u'date': u'2013-09-05', u'steps': u'21', u'time': u'10:17:00'}"
3509,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:16:00'}"
3510,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:15:00'}"
3511,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:14:00'}"
3512,"{u'date': u'2013-09-05', u'steps': u'0', u'time': u'10:13:00'}"
