,steps
221,"{u'date': u'2013-09-07', u'steps': u'17', u'time': u'17:04:00'}"
222,"{u'date': u'2013-09-07', u'steps': u'69', u'time': u'17:03:00'}"
223,"{u'date': u'2013-09-07', u'steps': u'8', u'time': u'17:02:00'}"
224,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:01:00'}"
225,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'17:00:00'}"
226,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:59:00'}"
227,"{u'date': u'2013-09-07', u'steps': u'4', u'time': u'16:58:00'}"
228,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:57:00'}"
229,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:56:00'}"
230,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:55:00'}"
231,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:54:00'}"
232,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:53:00'}"
233,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:52:00'}"
234,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:51:00'}"
235,"{u'date': u'2013-09-07', u'steps': u'8', u'time': u'16:50:00'}"
236,"{u'date': u'2013-09-07', u'steps': u'4', u'time': u'16:49:00'}"
237,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:48:00'}"
238,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:47:00'}"
239,"{u'date': u'2013-09-07', u'steps': u'7', u'time': u'16:46:00'}"
240,"{u'date': u'2013-09-07', u'steps': u'13', u'time': u'16:45:00'}"
241,"{u'date': u'2013-09-07', u'steps': u'20', u'time': u'16:44:00'}"
242,"{u'date': u'2013-09-07', u'steps': u'7', u'time': u'16:43:00'}"
243,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:42:00'}"
244,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:41:00'}"
245,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:40:00'}"
246,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:39:00'}"
247,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:38:00'}"
248,"{u'date': u'2013-09-07', u'steps': u'45', u'time': u'16:37:00'}"
249,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:36:00'}"
250,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:35:00'}"
251,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:34:00'}"
252,"{u'date': u'2013-09-07', u'steps': u'65', u'time': u'16:33:00'}"
253,"{u'date': u'2013-09-07', u'steps': u'26', u'time': u'16:32:00'}"
254,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:31:00'}"
255,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:30:00'}"
256,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:29:00'}"
257,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:28:00'}"
258,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:27:00'}"
259,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:26:00'}"
260,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:25:00'}"
261,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:24:00'}"
262,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:23:00'}"
263,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:22:00'}"
264,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:21:00'}"
265,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:20:00'}"
266,"{u'date': u'2013-09-07', u'steps': u'0', u'time': u'16:19:00'}"
267,"{u'date': u'2013-09-07', u'steps': u'6', u'time': u'16:18:00'}"
268,"{u'date': u'2013-09-07', u'steps': u'77', u'time': u'16:17:00'}"
269,"{u'date': u'2013-09-07', u'steps': u'74', u'time': u'16:16:00'}"
270,"{u'date': u'2013-09-07', u'steps': u'41', u'time': u'16:15:00'}"
271,"{u'date': u'2013-09-07', u'steps': u'25', u'time': u'16:14:00'}"
272,"{u'date': u'2013-09-07', u'steps': u'71', u'time': u'16:13:00'}"
273,"{u'date': u'2013-09-07', u'steps': u'64', u'time': u'16:12:00'}"
274,"{u'date': u'2013-09-07', u'steps': u'57', u'time': u'16:11:00'}"
275,"{u'date': u'2013-09-07', u'steps': u'42', u'time': u'16:10:00'}"
